id,name,kcal
E1600101,熟箭竹筍,16
E1700101,白蘆筍,22
E17002,綠蘆筍平均值,19
E1700201,綠蘆筍,20
E1700202,澳洲綠蘆筍(粗短型),18
E1700203,綠蘆筍(細短型),21
E1700301,蘆筍花,17
E1800101,嫩莖萵苣,14
E1900101,嫩薑,19
E1900102,粉薑,23
E1900103,老薑,47
E2000101,檳榔嫩莖,26
E2100101,大蒜,115
E2100201,青蒜,27
E2100301,蒜苗,47
E2250101,薤,7
E23001,青蔥平均值,24
E2300101,青蔥,18
E2300102,山東大蔥,28
E2300103,日本甜蔥,28
E2300104,宜蘭粉蔥,23
E2400101,白洋蔥,40
E2400201,紫洋蔥,29
E2400301,黃洋蔥,39
E2500101,紅蔥頭,70
E2600101,韮菜花,21
E2600201,韮菜,18
E2600301,韮菜黃,13
E2700101,九層塔,21
E2800101,小麥苗,27
E2900101,水菜(日本種),8
E30001,甘藍平均值,21
E3000101,梨山甘藍(尖球形),22
E3000102,甘藍(扁圓形),19
E3000103,甘藍(圓球形),22
E3000201,紫色甘藍,24
E3000301,甘藍芽,29
E3000401,冷凍甘藍,16
E3010101,脫水甘藍,308
E3010201,甘藍乾,174
E3050101,酸甘藍菜,16
E3100101,甘藷葉,22
E3200101,蚵仔白菜,10
E3200201,荷葉白菜,12
E3200301,葵扇白菜,11
E3200401,黑葉白菜(短梗),13
E3200501,千寶菜,16
E3200601,土植小白菜(1月取樣),8
E3200602,土植小白菜(3月取樣),8
E3200603,土植小白菜(4月取樣),11
E3200604,土植小白菜(7月取樣),8
E3200605,土植小白菜(10月取樣),9
E3200701,水植小白菜(1月取樣),10
E3200702,水植小白菜(4月取樣),11
E3200703,水植小白菜(7月取樣),10
E3200704,水植小白菜(10月取樣),10
E3200801,有機小白菜(1月取樣),6
E3200802,有機小白菜(4月取樣),12
E3200803,有機小白菜(7月取樣),8
E3200804,有機小白菜(10月取樣),11
E3200901,珍珠小白菜,8
E3201001,油菜心,27
E3201101,油菜,9
E3201201,土植青江菜(1月取樣),8
E3201202,土植青江菜(3月取樣),7
E3201203,土植青江菜(4月取樣),9
E3201204,土植青江菜(7月取樣),12
E3201205,土植青江菜(10月取樣),8
E3201301,水植青江菜(1月取樣),10
E3201302,水植青江菜(4月取樣),12
E3201303,水植青江菜(7月取樣),12
E3201304,水植青江菜(10月取樣),7
E3201401,有機青江菜(1月取樣),7
E3201402,有機青江菜(4月取樣),13
E3201403,有機青江菜(7月取樣),17
E3201404,有機青江菜(10月取樣),7
E3201501,塔菇菜,7
E3201601,廣島野菜,4
E33001,結球白菜平均值,15
E3300101,煙台白菜,12
E3300102,迷你竹筍白菜,18
E3300103,翠玉白菜,17
E3300104,包心白菜,13
E3300201,白菜芽,51
E3400101,白鳳菜,21
E3400201,紅鳳菜,18
E3500101,豆瓣菜,17
E3600101,明日葉,45
E3700101,山芹菜,24
E37002,芹菜平均值,13
E3700201,芹菜(青梗),10
E3700202,芹菜(黃梗),15
E3700301,西洋芹菜,8
E3800101,大心芥菜,33
E3800201,大芥菜,16
E3800301,包心芥菜,14
E38004,芥菜平均值,16
E3800401,芥菜,15
E3800402,雪裡蕻,17
E3850101,梅乾菜,81
E3850201,榨菜,19
E3850301,酸菜,13
E3900101,芥藍菜,16
E3900201,芥藍芽,23
E4000101,芫荽,20
E4100101,紅梗珍珠菜,25
E4200101,食茱萸,95
E4300101,香樁,88
E4400101,茴香,19
E4500101,馬齒莧,13
E4600101,茼蒿,13
E4600201,日本茼蒿,11
E4600301,昭和草,26
E4700101,隼人瓜苗,19
E4800101,白莧菜,13
E4800201,紅莧菜,15
E4800301,野莧菜,33
E4900101,紫蘇,54
E5000101,菠菜,14
E5000201,菠菜(葉),18
E5000301,冷凍菠菜,13
E5100101,菾菜,17
E5100201,黃金菾菜,14
E5200101,落葵,29
E5200201,藤三七,19
E53001,不結球萵苣平均值,13
E5300101,奶油萵苣(日本種),13
E5300102,紅葉萵苣(荷蘭種）,12
E5300103,廣東萵苣,17
E5300104,蘿美萵苣,11
E5300201,土植本島萵苣(1月取樣),14
E5300202,土植本島萵苣(3月取樣),14
E5300203,土植本島萵苣(4月取樣),14
E5300204,土植本島萵苣(7月取樣),20
E5300205,土植本島萵苣(10月取樣),12
